Model,DNP11_E_weight,Base_R50,Ablated_R50,Relative_Drop,flux_share_top1,flux_share_top0p1,flux_gini,Block_Mass_Err,Median_Dist,Dist_Divergence,deg_mean,deg_p95,str_mean,str_p95,reciprocity,rich_club_1,rich_club_5,modularity_proxy,f_val,seed
f_0p02_Seed_006,7.20707488544464,0.06735400000000001,0.06742000000000001,-0.0009798972592570093,0.2513385583369164,0.14159935002962976,0.6356827572082232,0.2543726387169961,6946.42991039086,0.4827989087758771,130.53821765949186,179.0,512.5334081007635,745.0,0.014468978700660136,0.011332035595105674,0.00958498758382775,0.7387028074592039,0.02,6
f_0p02_Seed_007,0.0,0.0683,0.067976,0.004743777452415884,0.25137037985756117,0.14132166715893768,0.6355891397320187,0.2543726387169961,6946.198240752561,0.48281615789395316,130.5410331068694,179.0,512.544462417772,745.0,0.014448491417232614,0.011152900871378565,0.009617786115094968,0.7387028074592039,0.02,7
f_0p02_Seed_008,7.586271705389978,0.067862,0.06823,-0.005422769738587034,0.2505160975474577,0.14107654113385282,0.6350993287149108,0.2543726387169961,6945.377455525441,0.4828772700077445,130.53258712905452,179.0,512.5113008971705,745.0,0.014467656940439007,0.011262648077859776,0.009690547602047343,0.7387028074592039,0.02,8
f_0p02_Seed_009,0.0,0.067192,0.06802000000000001,-0.012322895582807615,0.251249464059832,0.14109081056195558,0.635525584179077,0.2543726387169961,6945.962208362433,0.48283373184363865,130.53821765949186,179.0,512.5334081007635,746.0,0.014442543496237527,0.010952563191369162,0.00966393317945469,0.7387028074592039,0.02,9
f_0p05_Seed_000,8.734360636250129,0.09238600000000001,0.09409000000000002,-0.01844435304050409,0.24147084677053743,0.12671580809263394,0.6290757392994162,0.2543726387169961,6922.153711092902,0.4846064094531526,130.68196048796287,186.0,513.0977868940948,769.0,0.014859889286059478,0.011257171251750462,0.009549627897017157,0.7387028074592039,0.05,0
f_0p05_Seed_001,8.953416962566507,0.09269800000000002,0.09374400000000001,-0.011283954346371996,0.2424969559130438,0.12828425899948925,0.6296483027237353,0.2543726387169961,6923.373419077655,0.4845155952782704,130.65657110784906,186.0,512.9981003367585,769.0,0.014837749802355542,0.011308599314407551,0.009770550430393347,0.7387028074592039,0.05,1
f_0p05_Seed_002,0.0,0.09292000000000002,0.09471200000000002,-0.019285406801549738,0.24169284087507842,0.12670988591462948,0.629224739533614,0.2543726387169961,6922.121098333643,0.484608837657985,130.69889222397373,186.0,513.1642661253752,770.0,0.01479974919599804,0.011478736873463916,0.009988425082764705,0.7387028074592039,0.05,2
f_0p05_Seed_003,7.616477497443712,0.09333400000000001,0.09409800000000003,-0.008185655816744321,0.24177120684807155,0.12716821721566604,0.6292393947899432,0.2543726387169961,6918.63783558451,0.484868186318824,130.6706751009305,186.0,513.0534769748915,769.0,0.014819575599314998,0.011341468947058023,0.009755728267400947,0.7387028074592039,0.05,3
f_0p05_Seed_004,8.815610617455539,0.09302400000000001,0.093576,-0.005933952528379739,0.2413370587065938,0.1264716393000915,0.6289474077868348,0.2543726387169961,6920.8571723354025,0.4847029441146756,130.65939166288885,186.0,513.0091747080284,768.0,0.014896568132195849,0.011162210471438148,0.009744592280641905,0.7387028074592039,0.05,4
f_0p05_Seed_005,8.76146968984355,0.09169200000000002,0.094148,-0.02678532478296876,0.24182374090033834,0.12777489574381332,0.6293099898138219,0.2543726387169961,6922.5865469488435,0.48457418236961447,130.67349626495098,186.0,513.064553737208,769.1500000000015,0.014882028769763413,0.011090978971064624,0.009699638536689086,0.7387028074592039,0.05,5
